,,Profile dimensions,,,,,Area properties,,,,,Inertia properties about major axis y-y,,,,Inertia properties about minor axis z-z,,,,Torsional & warping properties,,,,Axial force & shear resistance,,,Bending major axis y-y,,Bending minor axis z-z,,Buckling curve,,Section classification,,
Profile,Drawing,Depth,Width,Web thickness,Flange thickness,Root radius,Weight,Perimeter,Area,Shear area z-z,Shear area y-y,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Second moment of area,Radius of gyration,Elastic section modulus,Plastic section modulus,Torsion constant,Torsion modulus,Warping constant,Warping modulus,Design plastic axial force resistance,Design plastic shear force resistance z-z,Design plastic shear force resistance y-y,Design elastic bending moment resistance,Design plastic bending moment resistance,Design elastic bending moment resistance,Design plastic bending moment resistance,Buckling about major axis y-y,Buckling about minor axis z-z,Web in pure bending about major axis y-y,Web in pure uniform compression,Flanges in uniform compression due to axial force or bending moment
,,h,b,tw,tf,r,m,P,A,"Av,z","Av,y",Iy,iy,"Wel,y","Wpl,y",Iz,iz,"Wel,z","Wpl,z",IT,WT,Iw,Ww,"Npl,Rd","Vpl,Rd,z","Vpl,Rd,y","Mel,Rd,y","Mpl,Rd,y","Mel,Rd,z","Mpl,Rd,z",,,,,
,,[mm],[mm],[mm],[mm],[mm],[kg/m],[m],[mm2],[mm2],[mm2],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×106 mm4],[mm],[×103 mm3],[×103 mm3],[×103 mm4],[×103 mm3],[×106 mm6],[×103 mm4],[kN],[kN],[kN],[kNm],[kNm],[kNm],[kNm],,,,,
,,,,,,,,,,(for η=1.2),,,,,,,,,,,,,,,,,,,,,,,,,
UB457x191x74,dxf,457,190,9,14.5,13,74.7,1.636,9512,4622,5522,335.4,187.8,1468,1663,16.72,41.9,175.6,272.5,536,59.56,818000,38840,3376.78,947.4,1131.7,521.03,590.38,62.33,96.74,a,b,1,4,1
UB457x191x82,dxf,460,191,9.9,16,13,82.4,1.644,10497,5085,6122,372.7,188.4,1620,1842,18.71,42.2,195.6,304.3,714,72.12,922000,43420,3726.52,1042.14,1254.68,575.23,653.77,69.45,108.04,a,b,1,4,1
UB457x191x89,dxf,463,192,10.5,17.7,13,89.7,1.652,11426,5393,6793,412.3,190,1780,2024,20.9,42.8,217.8,338.8,933,88.86,1040000,48640,4056.13,1105.3,1392.34,631.74,718.51,77.32,120.28,a,b,1,4,1
UB457x191x98,dxf,467,193,11.4,19.6,13,98.7,1.661,12575,5855,7558,459.4,191.1,1967,2243,23.48,43.2,243.5,379.4,1240,108.8,1180000,54690,4464.27,1200.05,1549.03,698.21,796.17,86.45,134.68,a,b,1,4,1
UB457x191x106,dxf,469,194,12.6,20.6,13,106.2,1.667,13524,6471,7993,490.9,190.5,2093,2399,25.15,43.1,259.3,405.9,1490,118.3,1270000,58370,4801.04,1326.37,1638.2,742.84,851.66,92.05,144.1,a,b,1,3,1
UB457x191x133,dxf,481,197,15.3,26.3,13,133.7,1.696,17033,7858,10346,640.6,193.9,2666,3080,33.5,44.3,340.7,535.3,2980,194.8,1730000,77440,6046.81,1610.59,2120.6,946.34,1093.44,120.93,190.03,a,b,1,1,1
UB457x191x161,dxf,492,199,18,32,13,161.7,1.724,20604,9245,12762,800,197,3252,3789,42.51,45.4,426.4,672.5,5240,291.1,2250000,98120,7314.44,1894.81,2615.61,1154.41,1345,151.37,238.73,a,b,1,1,1
UB460x280x113,dxf,463,280,10.8,17.3,20,115.1,1.99,14658,5849,9688,567.2,196.7,2450,2727,63.38,65.8,452.7,694,1320,122.2,3150000,101000,5203.62,1198.79,1985.65,869.85,967.91,160.71,246.38,a,b,1,4,1
UB460x280x128,dxf,467,282,12.2,19.6,20,130.4,2.003,16617,6586,11054,648.2,197.5,2776,3103,73.37,66.4,520.3,798.9,1890,154.9,3670000,116400,5899.01,1349.79,2265.7,985.48,1101.55,184.71,283.6,a,b,1,3,1
UB460x280x144,dxf,472,283,13.6,22.1,20,146.6,2.014,18670,7346,12509,737.3,198.7,3124,3508,83.62,66.9,591,908.6,2660,195.6,4230000,132900,6627.87,1505.63,2563.75,1109.03,1245.33,209.79,322.56,a,b,1,2,1
UB460x280x158,dxf,476,284,15,23.9,20,159.7,2.024,20342,8081,13575,807.6,199.2,3393,3828,91.42,67,643.8,992,3370,224.7,4670000,145500,7221.25,1656.25,2782.36,1204.55,1359.02,228.54,352.17,a,b,1,1,1
UB460x280x177,dxf,482,286,16.6,26.9,20,179.3,2.04,22838,8974,15387,921.3,200.9,3823,4334,105.1,67.8,735,1134,4730,284.9,5440000,167200,8107.59,1839.31,3153.67,1357.17,1538.63,260.93,402.58,a,b,1,1,1
UB460x280x193,dxf,489,283,17,30.5,20,195.3,2.042,24882,9358,17263,1035,203.9,4232,4808,115.5,68.1,815.9,1257,6410,377.1,6070000,187100,8833.24,1917.98,3538.21,1502.41,1706.85,289.65,446.14,a,b,1,1,1
